"Reservoir_name","Basin","Subbasin","Agency_name","Date","Year","Month","Full_reservoir_level","Live_capacity_FRL","Storage","Level"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-01","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-02","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-03","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-04","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-05","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-06","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-07","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-08","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-09","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-10","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-11","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-12","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-13","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-14","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-15","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-16","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-17","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-18","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-19","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-20","2023","07","24","2.61E-6","NA","15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-07-21","2023","07","24","2.61E-6","8.0E-5","18.1"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-01","2023","07","73.76","2.209E-5","0.00568","68.95"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-02","2023","07","73.76","2.209E-5","0.00641","69.3"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-03","2023","07","73.76","2.209E-5","0.00699","69.59"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-04","2023","07","73.76","2.209E-5","0.00727","69.75"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-05","2023","07","73.76","2.209E-5","0.00755","69.9"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-06","2023","07","73.76","2.209E-5","0.00806","70.08"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-07","2023","07","73.76","2.209E-5","0.00898","70.45"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-08","2023","07","73.76","2.209E-5","0.00965","70.7"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-09","2023","07","73.76","2.209E-5","0.01069","71"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-10","2023","07","73.76","2.209E-5","0.01491","72.21"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-11","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-12","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-13","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-14","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-15","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-16","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-17","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-18","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-19","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-20","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-21","2023","07","73.76","2.209E-5","0.01619","72.5"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-01","2023","07","147.52","2.643E-5","0.01635","145.75"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-02","2023","07","147.52","2.643E-5","0.01635","145.75"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-03","2023","07","147.52","2.643E-5","0.01635","145.75"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-04","2023","07","147.52","2.643E-5","0.01645","145.77"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-05","2023","07","147.52","2.643E-5","0.01619","145.72"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-06","2023","07","147.52","2.643E-5","0.01619","145.72"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-07","2023","07","147.52","2.643E-5","0.01619","145.72"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-08","2023","07","147.52","2.643E-5","0.01608","145.7"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-09","2023","07","147.52","2.643E-5","0.01661","145.8"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-10","2023","07","147.52","2.643E-5","0.01837","146.13"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-11","2023","07","147.52","2.643E-5","0.01966","146.38"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2023-07-12","2023","07","147.52","2.643E-5","0.01966","146.38"
